traffic_mean,traffic_std,packet_rate,packet_variance,active_hosts,traffic_entropy,label
-61.25,7.485,2.4,56.023,12,3.355,0
-63.889,7.356,1.8,54.111,9,3.339,0
-62.9,8.595,2.0,73.878,10,3.287,0
-65.778,8.541,1.8,72.944,9,3.294,0
-61.5,6.188,1.6,38.286,8,3.447,0
-56.4,7.092,1.0,50.3,5,3.447,0
-64.8,3.633,1.0,13.2,5,3.27,0
-59.733,7.842,3.0,61.495,15,3.401,0
-59.667,7.581,1.2,57.467,6,3.317,0
-63.692,7.296,2.6,53.231,13,3.297,0
-63.786,6.363,2.8,40.489,14,3.475,0
-65.4,8.45,3.0,71.4,15,3.352,0
-62.533,7.482,3.0,55.981,15,3.332,0
-64.143,7.946,1.4,63.143,7,3.453,0
-60.364,7.762,2.2,60.255,11,3.514,0
-32.944,3.918,3.6,15.35,18,3.464,1
-60.182,8.085,2.2,65.364,11,3.38,0
-63.917,6.417,2.4,41.174,12,3.389,0
-56.8,6.979,1.0,48.7,5,3.389,0
-63.429,7.678,1.4,58.952,7,3.393,0
-60.8,8.106,1.0,65.7,5,3.337,0
-37.924,4.963,15.8,24.635,79,3.323,1
-60.071,6.498,2.8,42.225,14,3.336,0
-60.571,7.552,2.8,57.033,14,3.379,0
-59.182,6.447,2.2,41.564,11,3.404,0
-59.462,7.763,2.6,60.269,13,3.418,0
-62.4,8.642,3.0,74.686,15,3.373,0
-56.333,4.274,1.2,18.267,6,3.289,0
-66.8,5.215,1.0,27.2,5,3.624,0
-59.4,7.008,3.0,49.114,15,3.31,1
-58.571,7.323,1.4,53.619,7,3.411,0
-63.0,8.685,3.0,75.429,15,3.481,0
-63.615,7.589,2.6,57.59,13,3.384,0
-33.417,4.981,2.4,24.811,12,3.392,1
-62.5,7.598,2.4,57.727,12,3.316,0
-68.167,5.115,1.2,26.167,6,3.438,0
-64.25,6.042,1.6,36.5,8,3.429,0
-59.692,7.123,2.6,50.731,13,3.382,0
-64.75,8.155,1.6,66.5,8,3.374,0
-63.8,7.629,1.0,58.2,5,3.343,0
-59.667,8.381,2.4,70.242,12,3.37,0
-60.111,6.547,1.8,42.861,9,3.327,0
-65.727,7.976,2.2,63.618,11,3.379,0
-63.143,7.755,1.4,60.143,7,3.346,0
-60.6,10.407,1.0,108.3,5,3.247,0
-61.889,10.659,1.8,113.611,9,3.392,0
-63.0,6.892,1.8,47.5,9,3.342,0
-63.429,8.324,1.4,69.286,7,3.371,0
-62.857,10.156,1.4,103.143,7,3.389,0
-61.857,7.523,2.8,56.593,14,3.35,0
-63.375,7.981,1.6,63.696,8,3.405,0
-63.0,7.757,2.6,60.167,13,3.371,0
-62.0,8.586,1.6,73.714,8,3.395,0
-62.286,7.76,2.8,60.22,14,3.285,0
-61.444,8.233,1.8,67.778,9,3.322,0
-58.9,6.402,2.0,40.989,10,3.457,0
-59.091,7.765,2.2,60.291,11,3.286,0
-37.6,4.756,14.0,22.62,70,3.309,1
-63.286,4.68,1.4,21.905,7,3.453,0
-60.889,7.705,1.8,59.361,9,3.468,0
-59.667,8.441,1.8,71.25,9,3.395,0
-62.556,8.323,1.8,69.278,9,3.441,0
-62.714,8.864,1.4,78.571,7,3.223,0
-63.571,8.059,1.4,64.952,7,3.391,0
-64.5,9.636,1.6,92.857,8,3.367,0
-59.0,8.192,2.0,67.111,10,3.347,0
-67.286,6.343,1.4,40.238,7,3.284,0
-61.0,9.504,1.4,90.333,7,3.412,0
-64.4,7.961,2.0,63.378,10,3.334,0
-61.0,7.11,2.4,50.545,12,3.338,0
-62.2,6.713,2.0,45.067,10,3.377,0
-37.875,4.549,16.0,20.693,80,3.32,1
-58.154,6.362,2.6,40.474,13,3.334,0
-64.6,6.501,2.0,42.267,10,3.41,0
-59.214,6.886,2.8,47.412,14,3.348,0
-62.5,7.059,2.0,49.833,10,3.435,0
-62.0,5.514,2.2,30.4,11,3.326,1
-64.182,6.03,2.2,36.364,11,3.37,1
-65.375,5.68,1.6,32.268,8,3.39,0
-61.25,7.402,1.6,54.786,8,3.355,0
-60.375,6.255,1.6,39.125,8,3.282,0
-61.667,7.127,2.4,50.788,12,3.504,0
-63.133,7.425,3.0,55.124,15,3.438,0
-59.231,6.313,2.6,39.859,13,3.321,0
-65.071,6.65,2.8,44.225,14,3.38,0
-62.333,7.237,3.0,52.381,15,3.313,0
-62.0,7.823,1.2,61.2,6,3.419,0
-37.278,4.621,15.8,21.357,79,3.281,1
-64.462,7.742,2.6,59.936,13,3.296,0
-62.727,8.833,2.2,78.018,11,3.528,0
-62.0,8.093,1.8,65.5,9,3.34,0
-37.5,4.72,19.2,22.274,96,3.304,1
-61.818,8.635,2.2,74.564,11,3.472,0
-59.714,6.799,2.8,46.22,14,3.381,0
-32.2,5.064,4.0,25.642,20,3.42,1
-59.615,5.679,2.6,32.256,13,3.404,1
-60.0,7.925,1.2,62.8,6,3.269,0
-63.083,7.317,2.4,53.538,12,3.343,0
-59.0,6.986,1.2,48.8,6,3.414,0
-61.857,8.934,2.8,79.824,14,3.363,0
-62.6,7.424,3.0,55.114,15,3.447,0
-62.714,8.48,1.4,71.905,7,3.392,0
-63.7,7.761,2.0,60.233,10,3.304,0
-62.75,8.047,2.4,64.75,12,3.33,0
-63.545,9.771,2.2,95.473,11,3.446,0
-60.2,7.812,3.0,61.029,15,3.372,0
-62.0,8.053,3.0,64.857,15,3.421,0
-58.125,5.89,1.6,34.696,8,3.502,0
-63.733,8.481,3.0,71.924,15,3.325,0
-66.25,8.172,1.6,66.786,8,3.426,0
-62.867,8.149,3.0,66.41,15,3.336,0
-65.083,7.403,2.4,54.811,12,3.404,0
-61.455,8.478,2.2,71.873,11,3.405,0
-62.6,7.106,2.0,50.489,10,3.229,0
-60.154,7.093,2.6,50.308,13,3.324,1
-61.0,9.077,2.2,82.4,11,3.294,0
-60.5,3.979,2.0,15.833,10,3.333,0
-63.444,5.27,1.8,27.778,9,3.405,0
-63.333,8.05,3.0,64.81,15,3.319,0
-57.167,5.474,2.4,29.97,12,3.318,0
-60.75,8.565,1.6,73.357,8,3.445,0
-63.778,7.049,1.8,49.694,9,3.346,0
-30.467,4.612,3.0,21.267,15,3.282,1
-61.3,7.484,2.0,56.011,10,3.38,0
-64.167,7.814,2.4,61.061,12,3.356,0
-63.375,7.981,1.6,63.696,8,3.373,0
-71.167,2.994,1.2,8.967,6,3.387,0
-68.429,5.473,1.4,29.952,7,3.283,0
-64.182,7.04,2.2,49.564,11,3.419,0
-60.5,6.633,1.6,44.0,8,3.263,0
-38.0,4.617,16.0,21.316,80,3.326,1
-66.667,8.998,2.4,80.97,12,3.477,0
-63.923,7.555,2.6,57.077,13,3.403,0
-62.778,8.614,1.8,74.194,9,3.472,0
-64.571,7.978,2.8,63.648,14,3.401,0
-64.733,7.421,3.0,55.067,15,3.338,0
-64.0,6.514,3.0,42.429,15,3.48,0
-59.75,6.735,1.6,45.357,8,3.355,0
-63.2,6.181,1.0,38.2,5,3.244,0
-61.375,7.23,1.6,52.268,8,3.296,0
-65.455,8.653,2.2,74.873,11,3.429,0
-66.615,6.959,2.6,48.423,13,3.482,0
-61.917,8.361,2.4,69.902,12,3.344,0
-54.636,3.828,2.2,14.655,11,3.43,0
-64.0,8.414,1.2,70.8,6,3.245,0
-64.077,8.693,2.6,75.577,13,3.44,0
-62.143,6.701,2.8,44.901,14,3.299,0
-66.5,8.191,1.2,67.1,6,3.321,0
-62.455,7.607,2.2,57.873,11,3.27,0
-61.375,9.501,1.6,90.268,8,3.371,0
-60.6,8.264,1.0,68.3,5,3.33,0
-61.857,9.494,1.4,90.143,7,3.287,0
-59.2,7.523,3.0,56.6,15,3.331,0
-62.667,8.269,3.0,68.381,15,3.402,0
-63.286,8.119,2.8,65.912,14,3.372,0
-37.098,4.493,16.4,20.188,82,3.297,1
-63.4,8.184,3.0,66.971,15,3.355,0
-62.9,8.875,2.0,78.767,10,3.288,0
-65.231,7.143,2.6,51.026,13,3.319,0
-62.143,8.611,1.4,74.143,7,3.391,0
-60.429,5.543,2.8,30.725,14,3.416,0
-60.125,6.792,1.6,46.125,8,3.332,0
-61.5,4.342,1.6,18.857,8,3.482,0
-62.625,5.755,1.6,33.125,8,3.318,0
-64.333,5.854,1.2,34.267,6,3.366,0
-60.444,7.401,1.8,54.778,9,3.424,0
-62.583,9.209,2.4,84.811,12,3.367,0
-64.071,8.185,2.8,66.995,14,3.348,0
-65.364,9.277,2.2,86.055,11,3.338,0
-64.571,6.699,2.8,44.879,14,3.391,0
-61.571,8.016,2.8,64.264,14,3.431,0
-57.667,7.789,1.2,60.667,6,3.399,0
-64.357,7.801,2.8,60.863,14,3.38,0
-64.615,7.217,2.6,52.09,13,3.402,0
-59.667,8.553,2.4,73.152,12,3.39,0
-61.125,5.083,1.6,25.839,8,3.468,0
-59.625,8.245,1.6,67.982,8,3.429,0
-67.167,4.309,1.2,18.567,6,3.391,0
-38.012,4.618,16.6,21.329,83,3.277,1
-64.4,5.358,2.0,28.711,10,3.347,0
-63.692,7.878,2.6,62.064,13,3.307,0
-56.833,3.71,1.2,13.767,6,3.393,0
-64.545,9.406,2.2,88.473,11,3.258,0
-37.765,4.626,17.0,21.396,85,3.302,1
-58.8,10.33,1.0,106.7,5,3.51,0
-61.545,8.275,2.2,68.473,11,3.339,0
-61.375,9.531,1.6,90.839,8,3.278,0
-64.857,8.877,1.4,78.81,7,3.429,0
-66.75,6.519,1.6,42.5,8,3.411,0
-62.182,7.872,2.2,61.964,11,3.324,0
-60.909,6.252,2.2,39.091,11,3.47,1
-60.6,8.017,2.0,64.267,10,3.362,0
-62.0,12.227,1.0,149.5,5,3.365,0
-62.214,8.487,2.8,72.027,14,3.375,0
-60.8,7.981,1.0,63.7,5,3.333,0
-63.308,7.707,2.6,59.397,13,3.322,0
-62.0,5.18,2.6,26.833,13,3.432,0
-60.5,7.031,1.6,49.429,8,3.279,0
-61.909,8.3,2.2,68.891,11,3.392,0
-61.625,7.726,1.6,59.696,8,3.352,0
-56.3,6.717,2.0,45.122,10,3.348,0
-60.5,8.894,1.2,79.1,6,3.464,0
-58.0,5.865,1.2,34.4,6,3.349,0
-37.508,5.028,13.0,25.285,65,3.252,1
-68.857,5.178,1.4,26.81,7,3.269,0
-60.0,8.347,2.6,69.667,13,3.32,0
-62.0,8.0,1.8,64.0,9,3.329,0
-61.538,6.741,2.6,45.436,13,3.314,0
-37.364,4.669,17.6,21.797,88,3.317,1
-64.0,8.532,1.2,72.8,6,3.399,0
-63.077,7.555,2.6,57.077,13,3.359,0
-58.333,6.63,3.0,43.952,15,3.384,1
-71.5,1.761,1.2,3.1,6,3.425,0
-63.929,8.48,2.8,71.918,14,3.275,0
-61.444,7.585,1.8,57.528,9,3.381,0
-63.8,5.31,1.0,28.2,5,3.426,0
-62.667,6.743,1.2,45.467,6,3.345,0
-62.286,5.298,2.8,28.066,14,3.411,1
-37.598,4.706,17.4,22.15,87,3.255,1
-59.667,7.365,1.8,54.25,9,3.342,0
-38.184,4.082,17.4,16.663,87,3.286,1
-63.8,6.221,1.0,38.7,5,3.392,0
-38.169,4.742,16.6,22.483,83,3.298,1
-67.25,5.029,2.4,25.295,12,3.308,0
-59.4,7.635,1.0,58.3,5,3.334,0
-37.561,4.939,16.4,24.397,82,3.261,1
-62.857,8.037,2.8,64.593,14,3.433,0
-59.0,8.099,2.2,65.6,11,3.38,0
-64.571,8.446,2.8,71.341,14,3.414,0
-61.571,9.573,2.8,91.648,14,3.305,0
-62.0,8.185,2.2,67.0,11,3.393,0
-61.067,7.146,3.0,51.067,15,3.337,0
-62.267,8.86,3.0,78.495,15,3.308,0
-64.667,8.276,1.8,68.5,9,3.276,0
-64.5,7.036,2.8,49.5,14,3.403,0
-58.583,7.763,2.4,60.265,12,3.511,0
-61.556,7.65,1.8,58.528,9,3.375,0
-63.733,8.868,3.0,78.638,15,3.412,0
-60.0,7.937,1.4,63.0,7,3.391,0
-63.583,8.586,2.4,73.72,12,3.405,0
-62.333,7.685,1.2,59.067,6,3.392,0
-60.0,6.964,1.0,48.5,5,3.278,0
-63.0,7.733,2.2,59.8,11,3.338,0
-64.385,6.513,2.6,42.423,13,3.415,0
-62.714,5.98,2.8,35.758,14,3.296,0
-57.6,6.257,2.0,39.156,10,3.347,0
-63.4,7.129,3.0,50.829,15,3.438,0
-58.857,6.359,2.8,40.44,14,3.337,0
-61.545,6.502,2.2,42.273,11,3.339,0
-65.0,8.124,2.6,66.0,13,3.256,0
-66.182,7.222,2.2,52.164,11,3.362,0
-61.417,7.192,2.4,51.72,12,3.355,0
-60.182,6.838,2.2,46.764,11,3.34,0
-63.25,8.049,1.6,64.786,8,3.41,0
-64.625,8.847,1.6,78.268,8,3.41,0
-62.727,8.174,2.2,66.818,11,3.421,0
-62.636,8.078,2.2,65.255,11,3.418,0
-55.75,4.464,1.6,19.929,8,3.338,0
-60.417,6.788,2.4,46.083,12,3.391,0
-64.0,6.671,1.0,44.5,5,3.447,0
-60.067,6.408,3.0,41.067,15,3.411,0
-59.2,9.011,1.0,81.2,5,3.536,0
-62.75,6.482,2.4,42.023,12,3.407,0
-61.533,7.492,3.0,56.124,15,3.349,0
-64.0,9.118,1.6,83.143,8,3.352,0
-64.429,8.169,2.8,66.725,14,3.307,0
-62.25,8.413,1.6,70.786,8,3.359,0
-63.5,6.411,1.2,41.1,6,3.395,0
-62.385,9.465,2.6,89.59,13,3.401,0
-63.167,7.849,2.4,61.606,12,3.353,0
-58.222,6.87,1.8,47.194,9,3.424,0
-61.8,9.073,3.0,82.314,15,3.487,0
-61.333,7.524,2.4,56.606,12,3.318,0
-63.0,7.653,1.6,58.571,8,3.351,0
-67.333,5.726,2.4,32.788,12,3.351,0
-59.714,9.962,1.4,99.238,7,3.345,0
-58.385,7.869,2.6,61.923,13,3.336,0
-37.5,4.678,13.2,21.885,66,3.274,1
-56.333,6.154,1.2,37.867,6,3.245,0
-60.0,7.071,2.8,50.0,14,3.349,0
-65.4,5.629,3.0,31.686,15,3.532,0
-60.727,6.842,2.2,46.818,11,3.39,0
-62.375,9.65,1.6,93.125,8,3.283,0
-62.0,7.828,2.4,61.273,12,3.296,0
-60.833,7.414,1.2,54.967,6,3.363,0
-38.571,4.672,12.6,21.829,63,3.306,1
-60.0,5.26,1.4,27.667,7,3.329,0
-59.5,6.804,1.2,46.3,6,3.415,0
-61.0,6.399,3.6,40.941,18,3.363,1
-62.333,7.005,1.2,49.067,6,3.317,0
-68.778,6.3,1.8,39.694,9,3.408,0
-60.5,6.761,1.6,45.714,8,3.315,0
-59.714,7.878,2.8,62.066,14,3.431,0
-59.0,7.616,1.0,58.0,5,3.244,0
-62.429,7.683,2.8,59.033,14,3.418,0
-59.643,6.652,2.8,44.247,14,3.37,1
-37.238,4.575,12.6,20.926,63,3.307,1
-62.5,6.276,2.0,39.389,10,3.29,0
-62.8,8.687,3.0,75.457,15,3.303,0
-59.625,7.963,1.6,63.411,8,3.39,0
-65.5,4.601,2.0,21.167,10,3.426,0
-62.5,8.734,1.6,76.286,8,3.318,0
-60.357,7.899,2.8,62.401,14,3.38,0
-64.889,10.191,1.8,103.861,9,3.36,0
-61.545,8.583,2.2,73.673,11,3.338,0
-63.0,9.402,2.2,88.4,11,3.323,0
-61.0,7.036,1.0,49.5,5,3.392,0
-61.833,7.026,1.2,49.367,6,3.245,0
-62.143,7.451,2.8,55.516,14,3.38,0
-61.5,5.681,2.8,32.269,14,3.393,1
-62.857,7.559,1.4,57.143,7,3.413,0
-60.471,5.832,3.4,34.015,17,3.378,1
-63.308,7.994,2.6,63.897,13,3.335,0
-64.0,5.148,1.0,26.5,5,3.272,0
-61.917,6.626,2.4,43.902,12,3.365,0
-64.769,6.882,2.6,47.359,13,3.447,0
-62.167,9.368,1.2,87.767,6,3.319,0
-62.25,7.956,2.4,63.295,12,3.39,0
-62.364,7.004,2.2,49.055,11,3.366,0
-64.333,6.411,3.0,41.095,15,3.432,0
-60.812,5.231,3.2,27.362,16,3.368,1
-63.545,7.725,2.2,59.673,11,3.454,0
-62.2,6.015,2.0,36.178,10,3.354,0
-60.167,4.834,1.2,23.367,6,3.414,0
-58.0,6.843,2.6,46.833,13,3.48,0
-57.857,7.712,1.4,59.476,7,3.369,0
-62.643,8.354,2.8,69.786,14,3.331,0
-63.692,8.538,2.6,72.897,13,3.357,0
-64.667,9.46,1.8,89.5,9,3.441,0
-61.714,8.361,1.4,69.905,7,3.317,0
-61.6,6.542,1.0,42.8,5,3.361,0
-63.625,5.012,1.6,25.125,8,3.333,0
-65.364,7.606,2.2,57.855,11,3.43,0
-64.1,7.81,2.0,60.989,10,3.305,0
-62.733,7.372,3.0,54.352,15,3.39,0
-61.933,6.419,3.0,41.21,15,3.319,0
-31.125,4.815,3.2,23.183,16,3.353,1
-62.143,8.971,1.4,80.476,7,3.326,0
-67.75,6.251,1.6,39.071,8,3.486,0
-63.0,6.782,1.4,46.0,7,3.391,0
-63.333,9.018,2.4,81.333,12,3.377,0
-67.0,8.602,1.2,74.0,6,3.387,0
-62.333,7.815,1.2,61.067,6,3.488,0
-61.0,8.869,2.6,78.667,13,3.29,0
-62.0,9.511,2.8,90.462,14,3.424,0
-63.0,8.873,2.4,78.727,12,3.345,0
-64.571,6.676,2.8,44.571,14,3.382,0
-63.4,7.619,2.0,58.044,10,3.408,0
-37.205,4.771,17.6,22.762,88,3.289,1
-37.792,4.282,14.4,18.336,72,3.311,1
-61.125,6.128,1.6,37.554,8,3.465,0
-62.333,5.68,1.2,32.267,6,3.389,0
-59.545,9.158,2.2,83.873,11,3.446,0
-63.6,9.397,1.0,88.3,5,3.362,0
-61.8,8.479,3.0,71.886,15,3.332,0
-63.273,8.088,2.2,65.418,11,3.353,0
-58.75,9.316,1.6,86.786,8,3.444,0
-57.0,3.162,1.0,10.0,5,3.389,0
-64.818,9.786,2.2,95.764,11,3.467,0
-62.4,6.768,1.0,45.8,5,3.303,0
-59.583,8.284,2.4,68.629,12,3.452,0
-60.375,8.383,1.6,70.268,8,3.409,0
-53.8,2.864,1.0,8.2,5,3.364,0
-63.429,8.437,2.8,71.187,14,3.372,0
-61.8,7.163,3.0,51.314,15,3.349,0
-59.5,7.075,2.0,50.056,10,3.389,1
-60.0,8.203,3.0,67.286,15,3.483,0
-63.857,7.603,1.4,57.81,7,3.243,0
-60.5,7.994,2.4,63.909,12,3.315,0
-59.0,8.264,1.6,68.286,8,3.337,0
-59.0,5.033,1.4,25.333,7,3.391,0
-65.083,8.229,2.4,67.72,12,3.343,0
-61.133,6.278,3.0,39.41,15,3.293,0
-62.786,8.192,2.8,67.104,14,3.326,0
-59.143,6.44,1.4,41.476,7,3.411,0
-66.167,8.864,1.2,78.567,6,3.241,0
-61.867,7.936,3.0,62.981,15,3.354,0
-65.5,6.025,1.2,36.3,6,3.29,0
-63.375,9.023,1.6,81.411,8,3.429,0
-67.909,4.867,2.2,23.691,11,3.444,0
-65.75,7.996,1.6,63.929,8,3.321,0
-59.143,8.649,1.4,74.81,7,3.374,0
-62.333,7.762,1.8,60.25,9,3.377,0
-68.833,5.707,1.2,32.567,6,3.46,0
-67.8,7.19,1.0,51.7,5,3.421,0
-66.0,8.485,1.0,72.0,5,3.419,0
-59.556,8.202,1.8,67.278,9,3.328,0
-61.917,5.178,2.4,26.811,12,3.408,0
-65.727,8.99,2.2,80.818,11,3.379,0
-60.833,7.167,1.2,51.367,6,3.343,0
-64.5,7.934,2.0,62.944,10,3.304,0
-63.583,7.379,2.4,54.447,12,3.379,0
-61.875,5.693,1.6,32.411,8,3.426,0
-57.375,5.125,1.6,26.268,8,3.43,0
-59.3,6.634,2.0,44.011,10,3.391,0
-64.667,7.715,3.0,59.524,15,3.352,0
-65.667,8.779,1.2,77.067,6,3.361,0
-59.071,6.696,2.8,44.841,14,3.392,0
-61.571,9.235,1.4,85.286,7,3.399,0
-64.0,8.544,1.4,73.0,7,3.391,0
-65.444,6.56,1.8,43.028,9,3.34,0
-55.4,3.912,1.0,15.3,5,3.361,0
-61.5,8.733,2.8,76.269,14,3.385,0
-64.667,7.211,1.8,52.0,9,3.278,0
-59.733,7.372,3.0,54.352,15,3.432,0
-33.462,5.607,2.6,31.436,13,3.369,1
-65.25,6.326,2.4,40.023,12,3.379,0
-60.385,7.343,2.6,53.923,13,3.338,1
-58.5,9.103,1.6,82.857,8,3.263,0
-59.467,7.298,3.0,53.267,15,3.406,0
-64.929,6.427,2.8,41.302,14,3.325,0
-57.0,3.808,1.0,14.5,5,3.426,0
-61.714,5.837,2.8,34.066,14,3.329,1
-68.417,3.476,2.4,12.083,12,3.366,0
-58.9,4.04,2.0,16.322,10,3.29,0
-63.6,8.961,1.0,80.3,5,3.45,0
-61.333,8.091,1.2,65.467,6,3.439,0
-64.8,6.979,1.0,48.7,5,3.364,0
-65.417,8.039,2.4,64.629,12,3.397,0
-60.8,4.266,1.0,18.2,5,3.331,0
-63.7,9.178,2.0,84.233,10,3.287,0
-60.667,11.075,1.2,122.667,6,3.414,0
-67.143,5.146,1.4,26.476,7,3.347,0
-61.0,6.519,1.0,42.5,5,3.247,0
-67.273,4.714,2.2,22.218,11,3.379,0
-34.615,4.032,2.6,16.256,13,3.38,1
-58.0,7.483,1.8,56.0,9,3.456,0
-62.333,8.261,1.8,68.25,9,3.358,0
-37.892,4.776,14.8,22.81,74,3.308,1
-63.857,7.712,1.4,59.476,7,3.287,0
-62.5,7.845,2.4,61.545,12,3.319,0
-37.274,4.342,16.8,18.852,84,3.307,1
-64.545,7.828,2.2,61.273,11,3.337,0
-62.636,8.801,2.2,77.455,11,3.365,0
-68.3,6.567,2.0,43.122,10,3.411,0
-65.067,8.233,3.0,67.781,15,3.353,0
-62.167,8.232,1.2,67.767,6,3.366,0
-64.286,7.994,1.4,63.905,7,3.324,0
-61.538,8.263,2.6,68.269,13,3.382,0
-63.533,7.809,3.0,60.981,15,3.294,0
-62.929,7.109,2.8,50.533,14,3.354,0
-61.083,5.648,2.4,31.902,12,3.302,0
-60.5,4.209,1.6,17.714,8,3.375,0
-56.2,3.347,1.0,11.2,5,3.48,0
-63.286,10.323,1.4,106.571,7,3.366,0
-37.145,3.908,12.4,15.274,62,3.279,1
-58.286,7.322,2.8,53.604,14,3.329,1
-37.905,4.731,19.0,22.385,95,3.266,1
-64.818,6.94,2.2,48.164,11,3.492,0
-62.545,7.555,2.2,57.073,11,3.255,0
-64.875,7.605,1.6,57.839,8,3.371,0
-63.917,7.845,2.4,61.538,12,3.378,0
-64.667,9.028,1.8,81.5,9,3.34,0
-37.805,4.392,15.4,19.29,77,3.321,1
-61.556,6.386,1.8,40.778,9,3.39,0
-64.083,7.465,2.4,55.72,12,3.37,0
-58.8,7.554,2.0,57.067,10,3.287,1
-63.5,8.385,1.2,70.3,6,3.399,0
-58.167,8.472,1.2,71.767,6,3.364,0
-60.643,8.082,2.8,65.324,14,3.453,0
-62.5,8.118,1.2,65.9,6,3.317,0
-37.349,4.982,16.6,24.815,83,3.283,1
-37.589,4.483,11.2,20.101,56,3.325,1
-57.286,5.314,1.4,28.238,7,3.369,0
-58.846,6.122,2.6,37.474,13,3.405,0
-59.125,8.855,1.6,78.411,8,3.522,0
-64.375,7.07,1.6,49.982,8,3.428,0
-59.0,7.365,1.8,54.25,9,3.409,0
-59.182,7.346,2.2,53.964,11,3.393,0
