traffic_mean,traffic_std,packet_rate,packet_variance,active_hosts,traffic_entropy,label,AI_MSE,AI_Prediction,Result,Distance_From_Threshold
-56.4,7.092,1.0,50.3,5,3.447,0,0.0059948917034999,0,Đúng,-0.0990701082965001
-64.8,3.633,1.0,13.2,5,3.27,0,0.019205369147758288,0,Đúng,-0.08585963085224171
-59.733,7.842,3.0,61.495,15,3.401,0,0.0015068074071400794,0,Đúng,-0.10355819259285992
-59.667,7.581,1.2,57.467,6,3.317,0,0.00242642487535715,0,Đúng,-0.10263857512464286
-63.692,7.296,2.6,53.231,13,3.297,0,0.001250398636023437,0,Đúng,-0.10381460136397656
-63.786,6.363,2.8,40.489,14,3.475,0,0.010218596315688876,0,Đúng,-0.09484640368431113
-65.4,8.45,3.0,71.4,15,3.352,0,0.012273952682690175,0,Đúng,-0.09279104731730983
-62.533,7.482,3.0,55.981,15,3.332,0,0.0023051604763969,0,Đúng,-0.10275983952360311
-64.143,7.946,1.4,63.143,7,3.453,0,0.0023892131762333385,0,Đúng,-0.10267578682376667
-60.364,7.762,2.2,60.255,11,3.514,0,0.005909896441032594,0,Đúng,-0.09915510355896741
-32.944,3.918,3.6,15.35,18,3.464,1,0.10828308753988174,1,Đúng,0.003218087539881731
-60.182,8.085,2.2,65.364,11,3.38,0,0.0004936603761667095,0,Đúng,-0.10457133962383329
-63.917,6.417,2.4,41.174,12,3.389,0,0.0009705226086944365,0,Đúng,-0.10409447739130558
-56.8,6.979,1.0,48.7,5,3.389,0,0.008786396511903343,0,Đúng,-0.09627860348809666
-63.429,7.678,1.4,58.952,7,3.393,0,0.00131035680666457,0,Đúng,-0.10375464319333544
-60.8,8.106,1.0,65.7,5,3.337,0,0.001577359567557342,0,Đúng,-0.10348764043244266
-37.924,4.963,15.8,24.635,79,3.323,1,3.89752159556368,1,Đúng,3.7924565955636798
-60.071,6.498,2.8,42.225,14,3.336,0,0.0045301169843262904,0,Đúng,-0.10053488301567372
-60.571,7.552,2.8,57.033,14,3.379,0,0.0011217582097307647,0,Đúng,-0.10394324179026924
-59.182,6.447,2.2,41.564,11,3.404,0,0.0016146108359296376,0,Đúng,-0.10345038916407037
-59.462,7.763,2.6,60.269,13,3.418,0,0.0019983004106583087,0,Đúng,-0.1030666995893417
-62.4,8.642,3.0,74.686,15,3.373,0,0.0034191370746392076,0,Đúng,-0.10164586292536079
-56.333,4.274,1.2,18.267,6,3.289,0,0.0076152934900367945,0,Đúng,-0.09744970650996321
-66.8,5.215,1.0,27.2,5,3.624,0,0.002871806657525611,0,Đúng,-0.1021931933424744
-59.4,7.008,3.0,49.114,15,3.31,1,0.003914516991176208,0,Sai,-0.1011504830088238
-58.571,7.323,1.4,53.619,7,3.411,0,0.0014906524759312348,0,Đúng,-0.10357434752406877
-63.0,8.685,3.0,75.429,15,3.481,0,0.00347866884815699,0,Đúng,-0.10158633115184301
-63.615,7.589,2.6,57.59,13,3.384,0,0.0010379274510473621,0,Đúng,-0.10402707254895265
-33.417,4.981,2.4,24.811,12,3.392,1,0.16383940463082536,1,Đúng,0.05877440463082535
-62.5,7.598,2.4,57.727,12,3.316,0,0.0007131403312643195,0,Đúng,-0.10435185966873568
-68.167,5.115,1.2,26.167,6,3.438,0,0.007014298186907215,0,Đúng,-0.09805070181309279
-64.25,6.042,1.6,36.5,8,3.429,0,0.0019192117918964194,0,Đúng,-0.10314578820810359
-59.692,7.123,2.6,50.731,13,3.382,0,0.0017610909474562776,0,Đúng,-0.10330390905254373
-64.75,8.155,1.6,66.5,8,3.374,0,0.0021627225826120118,0,Đúng,-0.102902277417388
-63.8,7.629,1.0,58.2,5,3.343,0,0.002767203662830016,0,Đúng,-0.10229779633716998
-59.667,8.381,2.4,70.242,12,3.37,0,0.0026033643672723045,0,Đúng,-0.1024616356327277
-60.111,6.547,1.8,42.861,9,3.327,0,0.0012494561588867609,0,Đúng,-0.10381554384111324
-65.727,7.976,2.2,63.618,11,3.379,0,0.0023425943896018867,0,Đúng,-0.10272240561039812
-63.143,7.755,1.4,60.143,7,3.346,0,0.0008531293251100914,0,Đúng,-0.10421187067488992
-60.6,10.407,1.0,108.3,5,3.247,0,0.01619554670778976,0,Đúng,-0.08886945329221024
-61.889,10.659,1.8,113.611,9,3.392,0,0.004649707734918788,0,Đúng,-0.10041529226508122
-63.0,6.892,1.8,47.5,9,3.342,0,0.0007716973228558288,0,Đúng,-0.10429330267714418
-63.429,8.324,1.4,69.286,7,3.371,0,0.0006352095331457599,0,Đúng,-0.10442979046685424
-62.857,10.156,1.4,103.143,7,3.389,0,0.0046635260399290135,0,Đúng,-0.10040147396007099
-61.857,7.523,2.8,56.593,14,3.35,0,0.0008533457921894345,0,Đúng,-0.10421165420781058
-63.375,7.981,1.6,63.696,8,3.405,0,0.001024356698172185,0,Đúng,-0.10404064330182781
-63.0,7.757,2.6,60.167,13,3.371,0,0.00022768204905231166,0,Đúng,-0.1048373179509477
-62.0,8.586,1.6,73.714,8,3.395,0,0.0008833535839235272,0,Đúng,-0.10418164641607648
-62.286,7.76,2.8,60.22,14,3.285,0,0.0007937038356367203,0,Đúng,-0.10427129616436329
-61.444,8.233,1.8,67.778,9,3.322,0,0.0005680508503617851,0,Đúng,-0.10449694914963822
-58.9,6.402,2.0,40.989,10,3.457,0,0.003598806605571353,0,Đúng,-0.10146619339442865
-59.091,7.765,2.2,60.291,11,3.286,0,0.0026563934719633837,0,Đúng,-0.10240860652803663
-37.6,4.756,14.0,22.62,70,3.309,1,2.731455085591278,1,Đúng,2.626390085591278
-63.286,4.68,1.4,21.905,7,3.453,0,0.0032426442415762692,0,Đúng,-0.10182235575842373
-60.889,7.705,1.8,59.361,9,3.468,0,0.0019648044319887687,0,Đúng,-0.10310019556801124
-59.667,8.441,1.8,71.25,9,3.395,0,0.0031802966893677083,0,Đúng,-0.10188470331063229
-62.556,8.323,1.8,69.278,9,3.441,0,0.0009311766808031761,0,Đúng,-0.10413382331919684
-62.714,8.864,1.4,78.571,7,3.223,0,0.021149249227715727,0,Đúng,-0.08391575077228428
-63.571,8.059,1.4,64.952,7,3.391,0,0.0016969822131354237,0,Đúng,-0.10336801778686458
-64.5,9.636,1.6,92.857,8,3.367,0,0.0035159276486924538,0,Đúng,-0.10154907235130756
-59.0,8.192,2.0,67.111,10,3.347,0,0.0025948132900249663,0,Đúng,-0.10247018670997504
-67.286,6.343,1.4,40.238,7,3.284,0,0.0072936308843491405,0,Đúng,-0.09777136911565086
-61.0,9.504,1.4,90.333,7,3.412,0,0.0028939859609568644,0,Đúng,-0.10217101403904313
-64.4,7.961,2.0,63.378,10,3.334,0,0.00040608420993713514,0,Đúng,-0.10465891579006287
-61.0,7.11,2.4,50.545,12,3.338,0,0.001107974953943762,0,Đúng,-0.10395702504605625
-62.2,6.713,2.0,45.067,10,3.377,0,0.0006667512844050217,0,Đúng,-0.10439824871559499
-37.875,4.549,16.0,20.693,80,3.32,1,4.0192457678289175,1,Đúng,3.9141807678289173
-58.154,6.362,2.6,40.474,13,3.334,0,0.006189456732244809,0,Đúng,-0.09887554326775519
-64.6,6.501,2.0,42.267,10,3.41,0,0.002290766352038804,0,Đúng,-0.1027742336479612
-59.214,6.886,2.8,47.412,14,3.348,0,0.0037002571236608175,0,Đúng,-0.10136474287633919
-62.5,7.059,2.0,49.833,10,3.435,0,0.0009310355105580866,0,Đúng,-0.10413396448944191
-62.0,5.514,2.2,30.4,11,3.326,1,0.0054565758029108775,0,Sai,-0.09960842419708912
-64.182,6.03,2.2,36.364,11,3.37,1,0.0022954449949214,0,Sai,-0.1027695550050786
-65.375,5.68,1.6,32.268,8,3.39,0,0.002044798205665587,0,Đúng,-0.10302020179433442
-61.25,7.402,1.6,54.786,8,3.355,0,0.00026208646415376737,0,Đúng,-0.10480291353584624
-60.375,6.255,1.6,39.125,8,3.282,0,0.0030572791678101434,0,Đúng,-0.10200772083218987
-61.667,7.127,2.4,50.788,12,3.504,0,0.005827111390748566,0,Đúng,-0.09923788860925144
-63.133,7.425,3.0,55.124,15,3.438,0,0.004135010804521773,0,Đúng,-0.10092998919547823
-59.231,6.313,2.6,39.859,13,3.321,0,0.005272962649811992,0,Đúng,-0.09979203735018802
-65.071,6.65,2.8,44.225,14,3.38,0,0.0008276532061556197,0,Đúng,-0.10423734679384439
-62.333,7.237,3.0,52.381,15,3.313,0,0.00174384979385646,0,Đúng,-0.10332115020614355
-62.0,7.823,1.2,61.2,6,3.419,0,0.0008539955907285648,0,Đúng,-0.10421100440927145
-37.278,4.621,15.8,21.357,79,3.281,1,3.922727377857997,1,Đúng,3.817662377857997
-64.462,7.742,2.6,59.936,13,3.296,0,0.00316940712063265,0,Đúng,-0.10189559287936735
-62.727,8.833,2.2,78.018,11,3.528,0,0.005528893120735702,0,Đúng,-0.0995361068792643
-62.0,8.093,1.8,65.5,9,3.34,0,0.001082014846218743,0,Đúng,-0.10398298515378127
-37.5,4.72,19.2,22.274,96,3.304,1,6.617927069293327,1,Đúng,6.512862069293328
-61.818,8.635,2.2,74.564,11,3.472,0,0.0022826895511627414,0,Đúng,-0.10278231044883726
-59.714,6.799,2.8,46.22,14,3.381,0,0.001991335979066918,0,Đúng,-0.10307366402093308
-32.2,5.064,4.0,25.642,20,3.42,1,0.19674892800953667,1,Đúng,0.09168392800953666
-59.615,5.679,2.6,32.256,13,3.404,1,0.006650878334484395,0,Sai,-0.09841412166551561
-60.0,7.925,1.2,62.8,6,3.269,0,0.003632177125231594,0,Đúng,-0.10143282287476842
-63.083,7.317,2.4,53.538,12,3.343,0,0.0012200304348819768,0,Đúng,-0.10384496956511803
-59.0,6.986,1.2,48.8,6,3.414,0,0.001575848919712662,0,Đúng,-0.10348915108028735
-61.857,8.934,2.8,79.824,14,3.363,0,0.0026129404679248684,0,Đúng,-0.10245205953207513
-62.6,7.424,3.0,55.114,15,3.447,0,0.005518779851822163,0,Đúng,-0.09954622014817785
-62.714,8.48,1.4,71.905,7,3.392,0,0.0009458192862939774,0,Đúng,-0.10411918071370603
-63.7,7.761,2.0,60.233,10,3.304,0,0.0009967289872327121,0,Đúng,-0.10406827101276729
-62.75,8.047,2.4,64.75,12,3.33,0,0.00036979371962970434,0,Đúng,-0.1046952062803703
-63.545,9.771,2.2,95.473,11,3.446,0,0.005238034316965532,0,Đúng,-0.09982696568303448
-60.2,7.812,3.0,61.029,15,3.372,0,0.0005386542792497197,0,Đúng,-0.10452634572075029
-62.0,8.053,3.0,64.857,15,3.421,0,0.004648713837549864,0,Đúng,-0.10041628616245014
-58.125,5.89,1.6,34.696,8,3.502,0,0.0055526553614530585,0,Đúng,-0.09951234463854694
-63.733,8.481,3.0,71.924,15,3.325,0,0.006636960173219718,0,Đúng,-0.09842803982678029
-66.25,8.172,1.6,66.786,8,3.426,0,0.0011352512723410667,0,Đúng,-0.10392974872765894
-62.867,8.149,3.0,66.41,15,3.336,0,0.002463641506984379,0,Đúng,-0.10260135849301563
-65.083,7.403,2.4,54.811,12,3.404,0,0.0015699600380316616,0,Đúng,-0.10349503996196835
-61.455,8.478,2.2,71.873,11,3.405,0,0.0002841794205094646,0,Đúng,-0.10478082057949054
-62.6,7.106,2.0,50.489,10,3.229,0,0.004099122771327943,0,Đúng,-0.10096587722867206
-60.154,7.093,2.6,50.308,13,3.324,1,0.0019833981480379156,0,Sai,-0.10308160185196209
-61.0,9.077,2.2,82.4,11,3.294,0,0.003301326081650477,0,Đúng,-0.10176367391834953
-60.5,3.979,2.0,15.833,10,3.333,0,0.013174817738825041,0,Đúng,-0.09189018226117496
-63.444,5.27,1.8,27.778,9,3.405,0,0.0032103431942845893,0,Đúng,-0.10185465680571541
-63.333,8.05,3.0,64.81,15,3.319,0,0.0025809545383287096,0,Đúng,-0.1024840454616713
-57.167,5.474,2.4,29.97,12,3.318,0,0.008683232140599522,0,Đúng,-0.09638176785940049
-60.75,8.565,1.6,73.357,8,3.445,0,0.0038592453275981113,0,Đúng,-0.10120575467240189
-63.778,7.049,1.8,49.694,9,3.346,0,0.0007731829565571609,0,Đúng,-0.10429181704344284
-30.467,4.612,3.0,21.267,15,3.282,1,0.18797540196088147,1,Đúng,0.08291040196088147
-61.3,7.484,2.0,56.011,10,3.38,0,0.0007991244164759303,0,Đúng,-0.10426587558352407
-64.167,7.814,2.4,61.061,12,3.356,0,0.0012052469253512014,0,Đúng,-0.1038597530746488
-63.375,7.981,1.6,63.696,8,3.373,0,0.0016149720552500874,0,Đúng,-0.10345002794474992
-71.167,2.994,1.2,8.967,6,3.387,0,0.02293003771296824,0,Đúng,-0.08213496228703177
-68.429,5.473,1.4,29.952,7,3.283,0,0.008077258527966943,0,Đúng,-0.09698774147203307
-64.182,7.04,2.2,49.564,11,3.419,0,0.001867317920133973,0,Đúng,-0.10319768207986603
-60.5,6.633,1.6,44.0,8,3.263,0,0.0024172925023895004,0,Đúng,-0.1026477074976105
-38.0,4.617,16.0,21.316,80,3.326,1,4.017129664186385,1,Đúng,3.9120646641863845
-66.667,8.998,2.4,80.97,12,3.477,0,0.008826159783680678,0,Đúng,-0.09623884021631933
-63.923,7.555,2.6,57.077,13,3.403,0,0.0007492661175974368,0,Đúng,-0.10431573388240258
-62.778,8.614,1.8,74.194,9,3.472,0,0.0012979804686581791,0,Đúng,-0.10376701953134182
-64.571,7.978,2.8,63.648,14,3.401,0,0.0007733551438236377,0,Đúng,-0.10429164485617637
-64.733,7.421,3.0,55.067,15,3.338,0,0.0037508101831389574,0,Đúng,-0.10131418981686105
-64.0,6.514,3.0,42.429,15,3.48,0,0.01024535069557155,0,Đúng,-0.09481964930442846
-59.75,6.735,1.6,45.357,8,3.355,0,0.0007293656390700154,0,Đúng,-0.10433563436092999
-63.2,6.181,1.0,38.2,5,3.244,0,0.007173217490020573,0,Đúng,-0.09789178250997943
-61.375,7.23,1.6,52.268,8,3.296,0,0.0006783962126154152,0,Đúng,-0.1043866037873846
-65.455,8.653,2.2,74.873,11,3.429,0,0.003279544813299132,0,Đúng,-0.10178545518670087
-66.615,6.959,2.6,48.423,13,3.482,0,0.009738484153470289,0,Đúng,-0.09532651584652972
-61.917,8.361,2.4,69.902,12,3.344,0,0.0007930318597315155,0,Đúng,-0.10427196814026848
-54.636,3.828,2.2,14.655,11,3.43,0,0.013736830268427556,0,Đúng,-0.09132816973157246
-64.0,8.414,1.2,70.8,6,3.245,0,0.01105620985820642,0,Đúng,-0.09400879014179359
-64.077,8.693,2.6,75.577,13,3.44,0,0.0007181279422484686,0,Đúng,-0.10434687205775153
-62.143,6.701,2.8,44.901,14,3.299,0,0.0033481211763075314,0,Đúng,-0.10171687882369247
-66.5,8.191,1.2,67.1,6,3.321,0,0.004179133538313216,0,Đúng,-0.10088586646168679
-62.455,7.607,2.2,57.873,11,3.27,0,0.0023010439036215604,0,Đúng,-0.10276395609637845
-61.375,9.501,1.6,90.268,8,3.371,0,0.000894249177662896,0,Đúng,-0.10417075082233711
-60.6,8.264,1.0,68.3,5,3.33,0,0.0019178092353997025,0,Đúng,-0.1031471907646003
-61.857,9.494,1.4,90.143,7,3.287,0,0.007064334114244254,0,Đúng,-0.09800066588575575
-59.2,7.523,3.0,56.6,15,3.331,0,0.0036944874589124386,0,Đúng,-0.10137051254108757
-62.667,8.269,3.0,68.381,15,3.402,0,0.0022637902231697218,0,Đúng,-0.10280120977683029
-63.286,8.119,2.8,65.912,14,3.372,0,0.0012660392923932201,0,Đúng,-0.10379896070760679
-37.098,4.493,16.4,20.188,82,3.297,1,4.306256019351861,1,Đúng,4.201191019351861
-63.4,8.184,3.0,66.971,15,3.355,0,0.003733251312166185,0,Đúng,-0.10133174868783382
-62.9,8.875,2.0,78.767,10,3.288,0,0.005215748559542367,0,Đúng,-0.09984925144045764
-65.231,7.143,2.6,51.026,13,3.319,0,0.001789100940995495,0,Đúng,-0.10327589905900451
-62.143,8.611,1.4,74.143,7,3.391,0,0.0009170396873520691,0,Đúng,-0.10414796031264793
-60.429,5.543,2.8,30.725,14,3.416,0,0.008162321341493367,0,Đúng,-0.09690267865850664
-60.125,6.792,1.6,46.125,8,3.332,0,0.0009167790551429671,0,Đúng,-0.10414822094485704
-61.5,4.342,1.6,18.857,8,3.482,0,0.003745780586484214,0,Đúng,-0.1013192194135158
-62.625,5.755,1.6,33.125,8,3.318,0,0.005357372180515806,0,Đúng,-0.0997076278194842
-64.333,5.854,1.2,34.267,6,3.366,0,0.002133991772491642,0,Đúng,-0.10293100822750836
-60.444,7.401,1.8,54.778,9,3.424,0,0.0005776581996617117,0,Đúng,-0.1044873418003383
-62.583,9.209,2.4,84.811,12,3.367,0,0.0033083500182883303,0,Đúng,-0.10175664998171167
-64.071,8.185,2.8,66.995,14,3.348,0,0.0026546646168300516,0,Đúng,-0.10241033538316996
-65.364,9.277,2.2,86.055,11,3.338,0,0.003513966881873399,0,Đúng,-0.1015510331181266
-64.571,6.699,2.8,44.879,14,3.391,0,0.000816818276424316,0,Đúng,-0.1042481817235757
-61.571,8.016,2.8,64.264,14,3.431,0,0.002443999056521905,0,Đúng,-0.1026210009434781
-57.667,7.789,1.2,60.667,6,3.399,0,0.007692659294234236,0,Đúng,-0.09737234070576577
-64.357,7.801,2.8,60.863,14,3.38,0,0.0019861306487603167,0,Đúng,-0.1030788693512397
-64.615,7.217,2.6,52.09,13,3.402,0,0.0007116943352549594,0,Đúng,-0.10435330566474504
-59.667,8.553,2.4,73.152,12,3.39,0,0.00452226352423762,0,Đúng,-0.10054273647576238
-61.125,5.083,1.6,25.839,8,3.468,0,0.0023778533481932933,0,Đúng,-0.10268714665180671
-59.625,8.245,1.6,67.982,8,3.429,0,0.004013920161371278,0,Đúng,-0.10105107983862872
-67.167,4.309,1.2,18.567,6,3.391,0,0.005464923906263564,0,Đúng,-0.09960007609373644
-38.012,4.618,16.6,21.329,83,3.277,1,4.5457321283193775,1,Đúng,4.440667128319378
-64.4,5.358,2.0,28.711,10,3.347,0,0.004769249620287067,0,Đúng,-0.10029575037971294
-63.692,7.878,2.6,62.064,13,3.307,0,0.0015563026955090016,0,Đúng,-0.103508697304491
-56.833,3.71,1.2,13.767,6,3.393,0,0.00959061071098496,0,Đúng,-0.09547438928901504
